id,internal_station_id,collected_at,temperature_C,salinity,dissolved_oxygen_mg/L,chlorophyll_ug/L,pheophytin_ug/L,turbidty_NTU,nitrate_nitrite_uM,ammonium_uM,ortho_phosphate_uM,silicate_uM,particulate_organic_nitrogen_uM,particulate_organic_carbon_uM,total_dissolved_nitrogen_uM,total_dissolved_phosphorus_uM,total_nitrogen_uM,total_phosphorus_uM,total_nitrogen_TDN_PON
399,3,2018-01-16T11:16:00.000Z,0.8,31.5,11.2334,1.83,0.64,0.49,3.19,0.3,0.26,2.15,2.49,37.79,12.038,0.43,,,14.52
400,3,2018-02-24T12:02:00.000Z,4.1,31.6,11.1677,2.41,0.98,0.37,0.24,0.01,0.05,0.43,5.24,39.8,12.172,0.59,10,0.705,17.41
401,3,2018-03-29T15:06:00.000Z,4.7,31.6,11.7504,0.74,0.23,0.33,0.01,0.01,0.01,1.8,2.98,40.96,12.873,0.19,7.2,0.535,15.86
402,3,2018-04-27T15:02:00.000Z,8.3,31.5,10.094,0.76,0.24,0.33,0.12,0.19,0.22,4.69,3.88,40.11,8.341,0.38,14.6,0.399,12.23
403,3,2018-05-08T11:46:00.000Z,11.3,31.4,9.2063,0.89,0.25,0.07,0.01,0.28,0.04,2.04,2.94,24.14,10.092,0.2,8.42,0.5,13.03
404,3,2018-06-20T12:07:00.000Z,18.2,31.1,8.2042,0.53,0.24,0.36,0.01,0.01,0.17,1.91,2.39,27.79,7.994,0.35,10.3,0.744,10.38
405,3,2018-07-24T18:25:00.000Z,19.6,31.3,8.8459,1.3,0.15,0.31,0.01,0.13,0.01,0.32,3.78,49.53,10.856,0.23,8.83,0.566,14.64
406,3,2018-08-21T10:41:00.000Z,19,31.3,7.5639,1.52,0.35,0.21,0.01,0.19,0.24,1.31,3.63,38.47,11.487,0.6,9.19,0.657,15.12
407,3,2018-09-14T11:45:00.000Z,17.4,31.6,7.5899,5.13,1.6,0.31,0.11,0.14,0.56,1.21,2.55,32.01,11.822,0.72,17.324,1.188,14.37
408,3,2018-11-01T15:08:00.000Z,11.4,31.4,8.8386,3.17,0.88,0.3,0.13,0.01,0.21,0.31,4.52,45.63,13.696,0.19,10.4,0.609,18.22
409,3,2018-11-18T13:44:00.000Z,7.5,30.9,9.467,2.18,0.78,0.26,0.01,0.01,0.13,0.18,4.8,43.34,10.085,0.23,6.28,0.447,14.89
410,3,2018-12-01T11:14:00.000Z,5.4,30.8,9.4701,2.99,1.01,0.19,0.12,0.23,0.17,0.16,3.01,30.35,10.679,0.16,9.35,0.65,13.69
411,3,2019-01-18T11:21:00.000Z,1.2,31.2,11.405,3.45,0.33,0.28,0.07,0.56,0.17,0.27,4.27,38.81,10.8,0.25,14.7,0.268,15.07
412,3,2019-02-23T10:28:00.000Z,1.5,31.2,11.558,5.5,0.21,0.25,0.12,0.45,0.01,0.35,4.42,59.09,10.4,0.12,6.88,0.422,14.82
413,3,2019-03-14T14:42:00.000Z,2.3,31.5,10.4273,4.44,0.3,0.23,0.11,0.01,0.09,1.15,4.4,50.01,8.01,0.34,11.2,0.627,12.41
414,3,2019-04-25T14:37:00.000Z,9.2,31.8,10.0225,1.75,0.22,0.25,0.28,0.25,0.11,0.56,3.55,32.24,9.74,0.22,8.69,0.208,13.29
415,3,2019-05-09T11:46:00.000Z,10,31.7,9.5459,1.25,0.26,0.2,0.19,0.01,0.15,0.71,3.35,31.46,12.1,0.19,25,0.579,15.45
416,3,2019-06-10T09:18:00.000Z,16.1,30,8.2912,0.86,0.23,0.11,0.01,0.01,0.05,0.01,2.83,23.09,12.4,0.4,11.3,0.189,15.23
417,3,2019-07-24T07:50:00.000Z,19.3,30.1,7.4964,2.26,0.87,0.3,0.24,0.17,0.06,2.25,5.08,41.17,11.8,0.36,11,0.723,16.88
418,3,2019-09-03T05:50:00.000Z,19.3,31,4.8811,2.41,0.68,0.19,0.56,0.49,0.29,2.2,7,60.05,13.7,0.47,14.1,0.855,20.7
419,3,2019-10-14T12:25:00.000Z,14.6,31.4,,8.27,1.63,0.27,0.23,0.3,0.38,3.17,7.83,68.98,10.8,0.55,11.8,1.04,18.63
420,3,2019-11-02T14:49:00.000Z,13.4,31.3,8.7966,5.08,1.83,0.35,0.01,0.01,0.38,0.19,4.96,50.34,7.98,0.6,10.8,0.921,12.94
421,3,2019-12-26T12:52:00.000Z,3.7,31.2,10.8874,6.23,0.78,0.2,0.07,0.13,0.14,0.01,3.63,48.13,8.87,0.48,10.9,0.67,12.5
422,3,2020-01-22T09:30:00.000Z,2.2,31.6,10.924,6.13,0.54,0.38,0.05,0.19,0.23,0.08,3.76,48.87,7.42,0.38,19.1,0.703,11.18
423,3,2020-02-25T13:25:00.000Z,3.7,31.8,11.6233,10.41,1,0.29,0.08,0.14,0.17,0.16,9.08,104.48,7.88,0.45,10,0.524,16.96
424,3,2020-03-12T12:57:00.000Z,5.4,31.9,10.1995,1.98,0.5,0.16,0.07,0.13,0.1,0.2,4.95,41.62,7.18,0.35,7.34,0.686,12.13
425,3,2020-04-15T13:35:00.000Z,7.5,31.5,10.4628,5.34,0.3,0.28,0.01,0.1,0.1,0.68,4.11,52.66,9.37,0.47,10.2,0.671,13.48
426,3,2020-05-21T10:44:00.000Z,10.7,31.3,8.9662,1.39,0.39,0.18,0.01,0.11,0.1,1.8,2.79,26.67,6.52,0.61,7.33,0.647,9.31
427,3,2020-06-16T12:12:00.000Z,14.7,31.4,8.4783,2.29,0.33,0.32,0.01,0.01,0.14,0.22,3.3,41.12,9.26,0.68,10.3,0.763,12.56
428,3,2020-07-23T12:12:00.000Z,22.3,31.2,7.3236,1.26,0.21,0.17,0.08,0.18,0.12,0.96,2.65,32,10.6,0.42,10.7,0.62,13.25
429,3,2020-08-23T06:07:00.000Z,19.9,31.4,7.4988,1.84,0.49,0.61,0.01,0.75,0.29,2.69,4.9,45.04,8.3,0.62,12.6,0.842,13.2
430,3,2020-09-09T13:25:00.000Z,20.7,31.5,7.3404,1.87,0.6,0.2,0.01,0.01,0.33,0.77,2.84,31.77,7.69,0.62,16,0.873,10.53
431,3,2020-10-22T11:08:00.000Z,15.4,31.8,7.6308,2.31,0.58,0.37,0.01,0.15,0.29,0.95,2.94,37.81,9.57,0.62,21,0.715,12.51
432,3,2020-11-09T11:24:00.000Z,12.2,31.8,8.7807,3,1,0.28,0.1,0.28,0.35,0.23,3.56,31.33,10.2,0.7,9.75,0.732,13.76
433,3,2020-12-12T14:20:00.000Z,6.7,31.3,9.5804,2.61,0.79,0.4,0.21,0.19,0.22,0.22,3.92,31.63,10.5,0.54,12,0.527,14.42
434,3,2021-01-13T13:36:00.000Z,3.8,31.6,10.6126,3.39,0.49,0.1,0.07,0.01,0.21,0.16,3.38,32.8,7.52,0.413,10.2,0.746,10.9
435,3,2021-02-11T09:36:00.000Z,1.1,31.3,11.4654,3.66,0.35,0.2,0.07,0.13,0.11,0.01,3.91,39.01,9.6,0.341,9.83,0.376,13.51
