OBJECTID,LoggerID,Date,DateTime,Interval,Average DO,Avg Temp (C),Avg Temp (F),Coordinates,Avg_Ct,GlobalID,x,y
27,2006676,2022-07-16,7/16/2022 4:00:00 PM,3,9.0075,22.67333,72.812,"41.890661, -70.510036",36,5fad313e-e84c-4c64-8672-f938552e662c,-7849141.30333539,5144615.037351
28,2006676,2022-07-16,7/16/2022 10:00:00 PM,4,8.406667,26.30528,79.3495,"41.890661, -70.510036",36,09b84c73-ffa9-4286-b6b0-febbaa9bd402,-7849141.30333539,5144615.037351
29,2006676,2022-07-17,7/17/2022 4:00:00 AM,1,8.83,23.25889,73.866,"41.890661, -70.510036",36,34927e31-594f-4ace-b4f2-015f7c17aa39,-7849141.30333539,5144615.037351
30,2006676,2022-07-17,7/17/2022 10:00:00 AM,2,9.212222,21.03278,69.85899,"41.890661, -70.510036",36,dba6f41e-326a-4142-a43a-7b436c0aadee,-7849141.30333539,5144615.037351
31,2006676,2022-07-17,7/17/2022 4:00:00 PM,3,8.813056,23.27528,73.8955,"41.890661, -70.510036",36,c035584d-328f-46ce-b11b-f15ed8d571b5,-7849141.30333539,5144615.037351
32,2006676,2022-07-17,7/17/2022 10:00:00 PM,4,8.085556,27.67778,81.82,"41.890661, -70.510036",36,77a2c7f5-b9d0-4131-9b26-52da54d40b90,-7849141.30333539,5144615.037351
33,2006676,2022-07-18,7/18/2022 4:00:00 AM,1,8.665277,23.97694,75.15849,"41.890661, -70.510036",36,549018ef-0c32-4c2f-a2c1-bfe5a71f8149,-7849141.30333539,5144615.037351
34,2006676,2022-07-18,7/18/2022 10:00:00 AM,2,8.786389,23.40722,74.133,"41.890661, -70.510036",36,29d6520a-4721-486c-86a4-51e14cca571d,-7849141.30333539,5144615.037351
35,2006676,2022-07-18,7/18/2022 4:00:00 PM,3,7.771667,30.12472,86.2245,"41.890661, -70.510036",36,b2062a4b-de78-4a2e-ae60-8399b8427b72,-7849141.30333539,5144615.037351
36,2006676,2022-07-18,7/18/2022 10:00:00 PM,4,7.779167,28.99195,84.1855,"41.890661, -70.510036",36,3cecd0f5-137b-4cd5-80be-bc52c8895aad,-7849141.30333539,5144615.037351
37,2006676,2022-07-19,7/19/2022 4:00:00 AM,1,8.396944,24.96639,76.9395,"41.890661, -70.510036",36,6e83a03d-38a8-426e-8248-dc797cb55864,-7849141.30333539,5144615.037351
38,2006676,2022-07-19,7/19/2022 10:00:00 AM,2,8.566957,23.72696,74.70853,"41.890661, -70.510036",23,8b3c5518-40df-4630-999c-b087068197a4,-7849141.30333539,5144615.037351
39,2006680,2022-07-07,7/7/2022 4:00:00 PM,3,8.860909,23.16303,73.69345,"41.883825, -70.509812",33,436400eb-33db-4588-bcd5-fb87eaee053f,-7849116.36776945,5143592.8470204
40,2006680,2022-07-07,7/7/2022 10:00:00 PM,4,8.426666,25.58139,78.04649,"41.883825, -70.509812",36,2f41d1ce-08fa-4ce1-a6d7-0e920c5d45c4,-7849116.36776945,5143592.8470204
41,2006680,2022-07-08,7/8/2022 4:00:00 AM,1,8.876945,22.81278,73.063,"41.883825, -70.509812",36,f6aa3a76-bd80-4d25-a48a-38baac43ee6c,-7849116.36776945,5143592.8470204
42,2006680,2022-07-08,7/8/2022 10:00:00 AM,2,9.086945,21.69,71.042,"41.883825, -70.509812",36,2d83815a-3f8b-4c44-8ae4-417479092d12,-7849116.36776945,5143592.8470204
43,2006680,2022-07-08,7/8/2022 4:00:00 PM,3,9.091945,21.69722,71.05499,"41.883825, -70.509812",36,fe90ce05-2859-44c1-bcb7-bab672670d2f,-7849116.36776945,5143592.8470204
44,2006680,2022-07-08,7/8/2022 10:00:00 PM,4,9.008056,22.17639,71.9175,"41.883825, -70.509812",36,96d2d400-08e0-4a22-ab6c-e2940ecaf4ca,-7849116.36776945,5143592.8470204
45,2006680,2022-07-09,7/9/2022 4:00:00 AM,1,9.012222,21.97222,71.55,"41.883825, -70.509812",36,3865d13b-8ee6-4e54-bc95-4326c6ea042b,-7849116.36776945,5143592.8470204
46,2006680,2022-07-09,7/9/2022 10:00:00 AM,2,9.0925,21.55806,70.8045,"41.883825, -70.509812",36,dacc87dc-09af-4b3b-90bf-13b3fa4e27d4,-7849116.36776945,5143592.8470204
47,2006680,2022-07-09,7/9/2022 4:00:00 PM,3,9.115833,21.61083,70.89951,"41.883825, -70.509812",36,7d8e4d72-ec52-4643-b99f-75447cc3f791,-7849116.36776945,5143592.8470204
